id,value,feed_id,created_at,lat,lon,ele
0EX0YDA0ZHWAST6106129P84Y7,28.090816,1762837,2021-12-09 14:52:59 UTC,,,
0EX0YDBAE02Y2Z0E7440VQYJ1N,27.036131,1762837,2021-12-09 14:53:03 UTC,,,
0EX0YDBSPTEEA2MJ0D3A0ZKTMZ,26.728512,1762837,2021-12-09 14:53:05 UTC,,,
0EX0YDCB4JAT3JS5KMWYMT1TDC,26.420897,1762837,2021-12-09 14:53:07 UTC,,,
0EX0YDCRY0HHGDMBT41DAKBRS3,26.245117,1762837,2021-12-09 14:53:08 UTC,,,
0EX0YDDAZQENET0FGXVJNTCVS2,26.025391,1762837,2021-12-09 14:53:10 UTC,,,
0EX0YDDFZ8YTE1JB496XG0QQEV,25.981443,1762837,2021-12-09 14:53:10 UTC,,,
0EX0YDDN0PNXS1K1KWYNKEFEGB,25.937498,1762837,2021-12-09 14:53:11 UTC,,,
0EX0Y55GTKCHTX3E2WHSV6WXFH,23.65234,1762835,2021-12-09 14:38:45 UTC,,,
0EX0Y87F5VWRQHHEG0RW73YBFR,24.838865,1762835,2021-12-09 14:44:06 UTC,,,
0EX0YBWA45G1HQ436BAKEMGVRC,25.629879,1762835,2021-12-09 14:50:29 UTC,,,
0EX0YBZ1QCN5PPC4YSQ5JRZMVB,25.629879,1762835,2021-12-09 14:50:38 UTC,,,
0EX0YC08MNEK96V8WEDHTHBJP3,25.673824,1762835,2021-12-09 14:50:42 UTC,,,
0EX0YC25091S3ZN64TC7TDXZAW,25.937498,1762835,2021-12-09 14:50:48 UTC,,,
0EX0YC84HS2WW3VACK2824ST8Q,25.673824,1762835,2021-12-09 14:51:08 UTC,,,
0EX0YD25QNXA0EYVBHBWMZRPGF,25.893551,1762835,2021-12-09 14:52:33 UTC,,,
0EX0YD3FMBG733NBWHCF205GHX,25.893551,1762835,2021-12-09 14:52:38 UTC,,,
0EX0YD45318C4Z3W5PGP1BXJM0,25.937498,1762835,2021-12-09 14:52:40 UTC,,,
0EX0YD6MJDWCQRFEZN84WJ2YB7,26.20117,1762835,2021-12-09 14:52:48 UTC,,,
0EX0XWE32X0VHE9W8NS2F5JAXP,28.53027,1762832,2021-12-09 14:23:30 UTC,,,
0EX0Y3WCEXVRM5ESSHFBKM5WEW,28.398436,1762832,2021-12-09 14:36:31 UTC,,,
0EX0Y424JA5FQAMN3FGS7X3XGG,29.453123,1762832,2021-12-09 14:36:49 UTC,,,
0EX0Y527MBE10F4BJZ99WMNQH4,28.00293,1762832,2021-12-09 14:38:35 UTC,,,
0EX0Y77ZKB70YCDNDXHAK7TWQX,28.662109,1762832,2021-12-09 14:42:23 UTC,,,
0EX0Y8FQQ7HHXHESE20842GB99,29.409176,1762832,2021-12-09 14:44:33 UTC,,,
0EX0Y8MD0ZBVY88XD9TPZCK7H1,29.49707,1762832,2021-12-09 14:44:49 UTC,,,
0EX0YBXG1HJW8CP5TZ0ES8FCZP,28.574217,1762832,2021-12-09 14:50:33 UTC,,,
0EX0YBYSKXEJA8RYW3E5B0VWGF,28.618162,1762832,2021-12-09 14:50:37 UTC,,,
0EX0YC05XGAYN6QKRDPQTER0C4,28.618162,1762832,2021-12-09 14:50:42 UTC,,,
0EX0YC2VK6N3QMATGGQA1HXYC1,28.837889,1762832,2021-12-09 14:50:51 UTC,,,
